aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
1.000,25025115,Duque de Caxias,Vila Amélia,Rua João Montilho,,R$ 86,,0,80m²,1,Padrão,R$ 1.000,"Área de serviço, Armários na cozinha, Armários no quarto, Varanda",,,,
21.300,22790789,Rio de Janeiro,Barra da Tijuca,,R$ 1.100,R$ 610,,4,,5 ou mais,Casa de condomínio,,"Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Mobiliado, Quarto de serviço, Varanda","Academia, Área murada, Condomínio fechado, Permitido animais, Piscina, Portão eletrônico, Segurança 24h",350m²,,
1.800,21911020,Rio de Janeiro,Freguesia (Ilha do Governador),Rua Comendador Bastos,R$ 450,R$ 0,,1,72m²,1,Padrão,R$ 2.250,"Ar condicionado, Área de serviço",,,,
1.400,21020122,Rio de Janeiro,Penha Circular,Avenida Lobo Júnior - de 1188 a 2086 - lado par,R$ 450,R$ 48,,1,70m²,2,Padrão,R$ 1.850,Área de serviço,Elevador,,,
3.500,22743670,Rio de Janeiro,Freguesia (Jacarepaguá),Rua Geminiano Gois,R$ 0,R$ 0,,2,,4,Padrão,R$ 3.500,,,117m²,,
2.500,21931155,Rio de Janeiro,Jardim Guanabara,Rua Paranhos da Silva,R$ 1.035,R$ 180,,1,85m²,2,Padrão,R$ 3.535,Área de serviço,,,,
2.000,23050435,Rio de Janeiro,Campo Grande,Rua Teixeira de Aragão,,R$ 310,,,,,,,,,,,
1.700,20550012,Rio de Janeiro,Tijuca,Rua São Francisco Xavier - até 278 - lado par,R$ 825,R$ 138,,,87m²,2,Padrão,R$ 2.525,Área de serviço,Elevador,,,
3.000,20551100,Rio de Janeiro,Vila Isabel,Rua Engenheiro Gama Lobo,R$ 970,R$ 133,,1,,3,Casa de condomínio,R$ 3.970,Churrasqueira,,149m²,,
4.500,21940490,Rio de Janeiro,Jardim Guanabara,Rua Alberto Maranhão,R$ 0,R$ 682,,1,,4,Padrão,R$ 4.500,Varanda,,435m²,,
1.200.000,21940490,Rio de Janeiro,Jardim Guanabara,Rua Alberto Maranhão,R$ 0,R$ 682,,1,,4,Padrão,,Varanda,,435m²,,
7.500,21940350,Rio de Janeiro,Jardim Guanabara,Rua Dom Emanuel Gomes - até 998 - lado par,R$ 0,R$ 1.000,,3,,5 ou mais,Padrão,R$ 7.500,"Churrasqueira, Piscina, Varanda",Piscina,300m²,,
3.000,24030076,Niterói,Centro,Rua Visconde do Uruguai - de 291 a 357 - lado ímpar,R$ 0,,70m²,,,,,,,,,,
18.000,22793081,Rio de Janeiro,Barra da Tijuca,Avenida das Américas - de 6735/6736 a 9301/9302,R$ 1.100,R$ 1,,4,,5 ou mais,Casa de condomínio,R$ 19.100,"Ar condicionado, Churrasqueira, Mobiliado, Piscina, Porteiro 24h","Academia, Condomínio fechado, Permitido animais, Piscina, Portão eletrônico",450m²,,
1.800,21340020,Rio de Janeiro,Madureira,Rua João Vicente - até 998/0999,,,,0,,,,,,,,,
2.900,22790020,Rio de Janeiro,Recreio dos Bandeirantes,Praça E,R$ 1.395,R$ 338,,2,117m²,2,Padrão,R$ 4.295,,Condomínio fechado,,,
650,25035290,Duque de Caxias,Vila Leopoldina,Avenida Perimetral José Ermílio Miro Gouveia,R$ 0,R$ 0,,0,,1,Padrão,R$ 650,,,70m²,,
1.500,20541330,Rio de Janeiro,Grajaú,Rua Rosa e Silva - de 1 ao fim - lado ímpar,R$ 619,R$ 0,,1,60m²,1,Padrão,R$ 2.119,Churrasqueira,"Elevador, Portaria, Salão de festas",,,
1.800,26263260,Nova Iguaçu,Ouro Verde,Rua Nuno,R$ 500,R$ 0,,1,57m²,1,Padrão,R$ 2.300,"Academia, Churrasqueira, Piscina, Varanda","Academia, Condomínio fechado, Permitido animais, Piscina, Segurança 24h",,,
1.300,24910540,Maricá,Caxito,Rua Um,,,,1,50m²,2,Padrão,R$ 1.300,"Ar condicionado, Área de serviço, Churrasqueira, Mobiliado","Condomínio fechado, Permitido animais, Piscina, Portaria, Salão de festas",,,
2.700,20720293,Rio de Janeiro,Méier,Rua Aquidabã - de 954 ao fim - lado par,,R$ 540,150m²,,,,,,,,,,
750,21710231,Rio de Janeiro,Realengo,Avenida de Santa Cruz - até 1375 - lado ímpar,R$ 684,,,1,80m²,2,Padrão,R$ 1.434,"Área de serviço, Armários na cozinha, Armários no quarto, Quarto de serviço","Condomínio fechado, Elevador, Permitido animais, Portaria, Salão de festas, Segurança 24h",,,
700,26285580,Nova Iguaçu,Santa Eugênia,Rua Pacaembu,,,,0,,2,Padrão,R$ 700,"Quarto de serviço, Varanda",,,,
1.400,22795570,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Gilka Machado - até 851/852,R$ 155,R$ 0,,,30m²,1,Kitnet,R$ 1.555,Mobiliado,Permitido animais,,,
1.150,21210120,Rio de Janeiro,Vila da Penha,Rua Tessalia,,,,1,,1,Padrão,R$ 1.150,"Área de serviço, Varanda","Área murada, Permitido animais",,,
1.600,20780200,Rio de Janeiro,Cachambi,Rua Ferreira de Andrade,R$ 1.050,R$ 108,,1,85m²,2,Padrão,R$ 2.650,"Ar condicionado, Área de serviço, Churrasqueira","Elevador, Permitido animais, Salão de festas, Segurança 24h",,,
,22713700,Rio de Janeiro,Taquara,Rua Bem-te-vi de Coroa,,,,0,,1,Padrão,R$ 0,,,130m²,,
700,20521160,Rio de Janeiro,Tijuca,Rua Desembargador Izidro,,,5m²,0,,,,,,,,,
1.000,20770240,Rio de Janeiro,Todos os Santos,Rua José Bonifácio,R$ 80,R$ 0,,1,,1,Casa de vila,R$ 1.080,"Área de serviço, Armários na cozinha, Varanda","Condomínio fechado, Permitido animais, Portão eletrônico",,,
16.000,26183255,Belford Roxo,Lote XV,Avenida Joaquim da Costa Lima - lado ímpar,,,318m²,,,,,,,,,,
45.000,22735020,Rio de Janeiro,Tanque,Estrada da Covanca,R$ 20,R$ 0,,0,25m²,1,Kitnet,,,Condomínio fechado,,,
570,22735020,Rio de Janeiro,Tanque,Estrada da Covanca,R$ 20,R$ 0,,0,25m²,1,Kitnet,R$ 590,,Condomínio fechado,,,
1.650,21921420,Rio de Janeiro,Jardim Carioca,Rua Itaguaí,R$ 0,R$ 0,,,,1,Padrão,R$ 1.650,Área de serviço,Condomínio fechado,80m²,,
